FCK,AB,2019,1
BSC,AC,2019,1
TSG,AS,2020,1
WOB,BL,2019,1
MRO,BMG,2019,1
AC,BSC,2019,1
AC,BSC,2001,2
BL,BSC,2020,1
JK,BSC,2019,1
PD,BSC,2011,2
FCN,BSH,2019,1
HH,BVB,2004,2
BMG,DH,2019,1
S04,DW,2019,1
HH,FCA,2020,1
HF,FCB,2019,1
HF,FCB,1990,2
JK,FCB,1997,2
TW,FCH,2002,2
FF,FCK,1983,2
MK,FCK,2019,1
MS,FCK,2019,1
MM,FCN,2019,1
UR,FD,2020,1
FD,FF,2020,1
AE,GF,1996,2
DH,H96,1999,2
TD,H96,2019,1
MM,HR,2012,2
BSC,JK,2020,1
TSG,JN,2019,1
MR,KSC,2002,2
AB,M05,2019,1
DW,M05,1995,2
MRO,M05,2010,2
SS,M05,2004,2
UR,MANC,1997,2
FCA,MS,2020,1
H96,MSL,2019,1
FCB,NK,2019,1
VfB,NW,2019,1
BSC,PD,2019,1
JN,RBL,2019,1
RBL,RR,2019,1
HS,S04,2019,1
TD,SGE,1996,2
M05,SS,2019,1
MG,SSVR,1992,2
AS,TSG,2019,1
MR,TSG,2020,1
NW,TSGB,2011,2
PM,VfB,2019,1
OG,WOB,2019,1
