id,name,professionality,type
AB,Achim Beierlorzer,2,1
ABR,André Breitenreiter,1,1
AC,Ante Covic,1,1
AH,Adi Hütter,1,1
AJ,Andries Jonker,2,1
AN,Alexander Nouri ,2,1
ARB,Arminia Bielefeld,1,2
AS,Alfred Scheuder ,2,1
ASC,ASC Dortmund 2,2,2
ASM,AS Monaco,1,2
ASR,AS Rom,1,2
AW,Austria Wien,1,2
B04,Bayer 04 Leverkusen,1,2
BH,Bernd Hollerbach ,1,1
BL,Bruno Labbadia,1,1
BMG,Borussia Mönchengladbach,1,2
BS,Bo Svensson,1,1
BSC,Hertha BSC,1,2
BSH,Boris Schommers,2,1
BVB,Borussia Dortmund,1,2
CA,Carlo Ancelotti,1,1
CG,Christian Gross,1,1
CT,Christian Titz,2,1
DF,Daniel Farke,2,1
DG,Dimitrios Grammozis,1,1
DH,Dieter Hecking ,1,1
DT,Domenico Tedesco,2,1
DW,David Wagner,1,1
EM,Enrico Maaßen,2,1
ET,Edin Terzic,2,1
FB,Fenerbahce,1,2
FCA,FC Augsburg,1,2
FCA2,FC Augsburg II,2,2
FCB,FC Bayern München,1,2
FCC,FC Chelsea,1,2
FCD,FC Dingolfing,2,2
FCDR,FC Borussia Dröschede,2,2
FCH,FC Heidelsheim,2,2
FCIS,FC Ismaning,2,2
FCK,1. FC Köln,1,2
FCN,1.FC Nürnberg,1,2
FCNA ,FC Naters ,2,2
FCP,FC Pforzheim,2,2
FCT,FC Tirol Innsbruck,1,2
FD,Fortuna Düsseldorf,1,2
FEY,Feyenoord Rotterdam,1,2
FF,Friedhelm Funkel,2,1
FK,Florian Kohfeldt,2,1
FKR,Frank Kramer,2,1
FM,Felix Magath,1,1
FSC,FC Schalke 04,1,2
GAK,Grazer AK,1,2
GF,Greuther Fürth,1,2
GS,Gerardo Seoane,2,1
H96,Hanover 96,1,2
HB,Heiko Butscher,1,1
HF,Hansi Flick,1,1
HH,Heiko Herrlich ,1,1
HR,Hansa Rostock,1,2
HS,Huub Stevens ,2,1
HSV,Hamburger Sportverein,1,2
HW,Hannes Wolf,2,1
id,name,professionality,type
IO,Idar-Oberstein,2,2
JH,Jupp Heynckes,1,1
JK,Jürgen Klinsmann,1,1
JM,Jesse Marsch,2,1
JN,Julian Nagelsmann,2,1
JR,Jahn Regensburg ,2,2
KL,1 FC K'lautern,1,2
KSC,Karlsruher Sportverein,1,2
LF,Lucien Favre,1,1
M05,Mainz 05,1,2
MA,Markus Anfang,1,1
MANC,Manchester City,1,2
MB,Manuel Baum,2,1
MG,Markus Gisdol,2,1
MK,Marco Kostmann,1,1
MKO,Michael Köllner,2,1
MKR,Matthias Kreutzer,2,1
MM,Marek Mintal,1,1
MR ,Marcel Rapp,1,1
MRO,Marco Rose,1,1
MS,Martin Schmidt,2,1
MSL,Mirko Slomka ,2,1
MSN,Marc Schneider,1,1
MVB,Mark van Bommel,1,1
MW,Markus Weinzierl,1,1
MWI,Michael Wimmer,2,1
NK,Niko Kovac,1,1
NW ,Nico Willig ,2,1
OG ,Oliver Glasner,2,1
PB,Peter Bosz,1,1
PD,Pal Dardai,1,1
PM,Pellegrino Matarazzo,2,1
PS,Peter Stöger,1,1
RBL,RB Leipzig,1,2
RBS,RB Salzburg YL,1,2
RC,Deportivo La Coruña,1,2
RH,Ralph Hasenhüttl,2,1
RM,Real Madrid,1,2
RR,Ralf Ragnick,2,1
RS,Red Star ZH,1,2
RWE,RW Essen ,1,2
S04,Schalke 04,1,2
SCV,SC Verl,2,2
SER,Servette FC,1,2
SGE,Sportgemeinschaft Eintracht Frankfurt,1,2
SGF,SpVgg Greuther Fürth,1,2
SH,Sebastian Hoeneß,1,1
SK,Stuttgarter Kickers,1,2
SL,Stefan Leitl,1,1
SR,Stefan Ruthenbeck,2,1
SS,Sandro Schwarz,1,1
SSVR,SSV Reutlingen,2,2
SVM,SV Meppen,2,2
SVR,Sportverein Ried,1,2
SVW,SV Wehen,2,2
TD,Thomas Doll,1,1
TK,Tayfun Korkut,1,1
TR,Thomas Reis,1,1
TSG,TSG Hoffenheim,1,2
TSGB,TSG Balingen,2,2
TSV,TSV 1860 München,1,2
TT,Thomas Tuchel,1,1
TuS,TuS Mayen,2,2
TW,Tim Walter,2,1
UF,Uli Forte,1,1
ULM,SSV Ulm 1846,1,2
UN,Uwe Neuhaus,1,1
UNT,SpVgg Unteraching,1,2
UR,Uwe Rösler,1,1
VA,Vitesse Arnheim,1,2
VfB,VfB Stuttgart,1,2
VFLB,VFL Bochum,1,2
VfLO,VfL Osnabrück,2,2
W3,Werder Bremen 3,2,2
WBR,Werder Bremen,1,2
WOB,VfL Wolfsburg,1,2
WS,Willy Sagnol,1,1
XA,Xabi Alonso,1,1
YB,FC Young Boys,1,2
TL,Thomas Letsch,2,1
